base_pred,price_up_5pct,price_down_5pct
31375.469254290976,7551.862739760254,55199.07576882167
37477.35196555323,13253.792601713016,61700.91132939343
35802.32901816524,10160.068981302604,61444.5890550279
141560.72267230132,115219.1740058283,167902.2713387743
37574.81771169364,10720.12199327637,64429.513430110936
-40619.12027751486,-68394.4621773616,-12843.778377668212
23137.277476984716,-3360.2276464517636,49634.7826004212
31217.84545599982,5090.108061170307,57345.58285082932
170049.63017198452,143791.09058744367,196308.1697565254
102780.57222409279,76036.55528158511,129524.58916660052
92597.97586800973,64568.57586891614,120627.37586710334
58406.87152074918,31079.275577991117,85734.46746350723
132225.72952245217,105132.06826513924,159319.39077976506
61760.81599702275,37210.25115890427,86311.3808351412
55470.31469872786,30698.392308790306,80242.23708866542
126704.63634450099,103006.80116623112,150402.47152277088
96559.04376389804,73017.16504259165,120100.92248520447
37747.527320757246,14112.577810617804,61382.476830896696
44208.00702279272,21891.141116667015,66524.87292891844
68596.4294127445,45932.434618538835,91260.4242069502
95002.39685675928,72416.38029103534,117588.41342248321
54904.98586239714,31498.94018425245,78311.03154054182
211782.66894519635,187405.66855111794,236159.6693392748
186421.48663754525,162555.11786868586,210287.8554064046
103189.54388980716,79152.126103633,127226.96167598135
82422.82841346582,58865.8571318081,105979.79969512351
